walk,arm,n_frames,median_vlm_latency_s,mean_words,unique_ratio,top_share,stop_rate,slow_rate,side_rate,cap_hit_rate,conciseness_auto
suwon,naive,295,4.93,66.0,0.973,0.007,0.092,0.0,0.071,0.766,1.23
suwon,context-v1,295,4.14,8.0,0.088,0.349,0.0,0.0,0.122,0.0,5.0
suwon,"context-v1, no echo",295,4.18,8.6,0.62,0.078,0.01,0.112,0.22,0.0,4.84
suwon,"context-v2, no echo",295,4.66,8.5,0.397,0.085,0.2,0.112,0.447,0.0,4.93
london,naive,285,4.84,63.3,0.965,0.014,0.161,0.0,0.168,0.481,1.61
london,context-v1,285,4.26,9.9,0.144,0.168,0.0,0.0,0.477,0.0,5.0
london,"context-v1, no echo",285,4.16,8.9,0.47,0.06,0.0,0.081,0.186,0.0,4.99
london,"context-v2, no echo",285,4.75,9.9,0.467,0.06,0.074,0.214,0.695,0.0,4.89
